issue,currentDesign,legalQuestion,risk,evidence,recommendedAnalysis,status
AIA-01,"Catálogo cerrado IA: 5 permitidas / 8 prohibidas; proveniencia AI_GENERATED + HUMAN_REVIEWED (08)","¿Qué debe decirse sobre IA en aviso y contrato; es suficiente el catálogo?","ALTO: decisión automatizada percepción/real; Art. 37 Bis","08-ai-package.md; 11-contract-package.md §1.5","Validar catálogo; identidad de proveedores IA; prohibición de entrenamiento con datos","OPEN — espera dictamen"
REV-01,"Revisión humana documentada: rationale, versiones append-only, audit trail (09)","¿Cómo debe documentarse la revisión humana para ser verificable y oponible?","MEDIO: revisión no demostrable","09-human-review.md §4","Definir contenido mínimo exigible y retención de la documentación","OPEN — espera dictamen"
TRA-01,"Transferencias declaradas: hosting/BD, IA, mensajería (12 §1.8)","¿Qué transferencias requieren aviso/consentimiento?","ALTO: transferencia sin habilitación","12-privacy-package.md §1.8; 11 §1.10","Aplicar arts. 36-37 LFPDPPP por subencargado","OPEN — espera dictamen"
TRA-02,"Subencargados por identificar en A-06.9 real (11 §1.10)","¿Qué subencargados deben declararse y con qué contenido mínimo?","MEDIO: opacidad de cadena de encargados","11-contract-package.md §1.10","Fijar lista y cláusulas de autorización previa","OPEN — espera dictamen"
ARC-01,"Flujo ARCO: titular → responsable → EvaluHR ejecuta por instrucción → evidencia (17)","¿Qué obligaciones tiene cada parte frente a ARCO?","MEDIO: respuesta tardía o ejecución defectuosa","17-arco.md §1-§2","Distribuir obligaciones y plazos entre partes","OPEN — espera dictamen"
ARC-02,"Reglas específicas: flag sin contenido; append-only vs rectificación; audit trail anonimizable (17 §3)","¿Es suficiente el manejo ARCO de eventos especiales (flag UNINVITED, audit trail)?","BAJO-MEDIO","17-arco.md §3; 07 §4","Confirmar tratamiento de eventos especiales en ARCO","OPEN — espera dictamen"
DIS-01,"Matriz de no discriminación con 12 atributos protegidos y mitigaciones (15)","¿Qué controles de no discriminación deben incorporarse además de la matriz?","ALTO: discriminación en empleo (LFT Art. 3; CONAPRED)","15-nondiscrimination.md","Validar matriz; añadir controles que estime necesarios","OPEN — espera dictamen"
DIS-02,"BDI/STAR profundiza narrativas laborales; riesgo de arrastre de datos de terceros/vida privada (03; 04)","¿Existe riesgo jurídico específico del método BDI/STAR?","MEDIO","03-question-legal-package.md; 04-probe-legal-package.md","Evaluar riesgo del método y las reglas de límite propuestas","OPEN — espera dictamen"
DIS-03,"MESERO/VENDEDOR: disponibilidad de turno y certificaciones condicionadas a requisito real (06 §2.2; 16 §3.5)","¿Existen restricciones adicionales según el puesto?","MEDIO: preguntas de disponibilidad mal formuladas","15-nondiscrimination.md §2; 16-bfoq.md §3","Confirmar formulación de disponibilidad y certificaciones por puesto","OPEN — espera dictamen"
EVA-01,"Rúbrica cualitativa sin score; cadena humana; Art. 37 Bis (05; 09)","¿La entrevista puede utilizarse como evidencia de competencia bajo el modelo propuesto?","MEDIO: uso como única base estaría prohibido","05-rubric-package.md; 09-human-review.md","Validar el modelo cualitativo y su carácter de insumo complementario","OPEN — espera dictamen"
EVA-02,"INSUFFICIENT ≠ 0; sin pesos, cortes, baremos ni validación (05 §6-§7)","¿Es jurídicamente preferible mantener el diseño sin scoring?","BAJO-MEDIO","05-rubric-package.md §7","Confirmar la ausencia de scoring como salvaguarda","OPEN — espera dictamen"
CTR-01,"Contrato maestro existente sin cláusula específica de entrevista (11 §0)","¿Qué cambios exige el contrato maestro?","ALTO: operar sin cláusula adecuada","11-contract-package.md","Revisar los 12 elementos y emitir cambios concretos","OPEN — espera dictamen"
CTR-02,"Roles y cláusula de encargo propuesta (11 §1.1; §1.3)","¿La cláusula propuesta de encargo es suficiente y correcta?","ALTO","11-contract-package.md §1.1","Redactar cláusula definitiva","OPEN — espera dictamen"
CTR-03,"Notificación de incidentes en plazo [DEFINIR CON ABOGADO] (11 §1.7)","¿Qué plazo y contenido de notificación de incidentes debe pactarse?","MEDIO","11-contract-package.md §1.7; 18-security.md","Fijar plazo, canal y contenido mínimo","OPEN — espera dictamen"
CTR-04,"Responsabilidad e indemnidades con límites por definir (11 §1.11)","¿Qué régimen de responsabilidad debe pactarse entre las partes?","MEDIO","11-contract-package.md §1.11","Fijar régimen, límites y seguros","OPEN — espera dictamen"
GAT-01,"INTERVIEW-G7 = NO APPROVED; LEGAL-G8 = NO APPROVED; LEGAL-G10 = NOT EVALUATED (02)","¿Puede cerrarse INTERVIEW-G7 con este expediente? Si no, ¿qué falta?","CRÍTICO: sin cierre no hay activación","02-gate-status.md; 19-lawyer-questions.md #20","Emitir dictamen y condiciones de cierre","OPEN — espera dictamen"
GAT-02,"INTERVIEW-G9 PARTIALLY SATISFIED; piloto A-06.10 NO EJECUTADO (02)","¿Qué condicionamientos debe fijar el dictamen para el piloto y para LEGAL-G10?","MEDIO","02-gate-status.md §4; 01-source-index.md §2","Definir condiciones operativas previas a piloto y validación final","OPEN — espera dictamen"
QES-01,"Q-MES-TRV-002 CONDITIONAL; cambios propuestos: acotar a cambio operativo + no indagar causas personales (03 §2.2)","¿Es aprobable la pregunta con los cambios propuestos?","MEDIO: riesgo de vida privada","03-question-legal-package.md §2.2","APPROVE/APPROVE_WITH_CHANGES/REJECT/NEEDS_MORE_INFORMATION sobre la pregunta","OPEN — espera dictamen"
QES-02,"Q-VEN-TRV-002 CONDITIONAL; mismos cambios (03 §2.7)","¿Es aprobable la pregunta con los cambios propuestos?","MEDIO","03-question-legal-package.md §2.7","Ídem","OPEN — espera dictamen"
QES-03,"Q-VEN-COL-001 escalada a LEGAL_REVIEW; límites de guía para terceros (03 §2.9)","¿Es aprobable con límites de guía o exige reescritura?","MEDIO: datos de terceros y conflictos interpersonales","03-question-legal-package.md §2.9","Ídem","OPEN — espera dictamen"
QES-04,"PROBE-UNI-004 CONDITIONAL: cierre opcional, respuesta sin valor probatorio (04 §1)","¿Es aprobable como cierre opcional sin valor probatorio?","BAJO-MEDIO: autorrevelación","04-probe-legal-package.md §1","Ídem","OPEN — espera dictamen"
QES-05,"PROBE-COL-001-D CONDITIONAL: solo resultados operativos; no identificadores de terceros (04 §4)","¿Es aprobable con los límites propuestos?","MEDIO","04-probe-legal-package.md §4","Ídem","OPEN — espera dictamen"
BFO-01,"No existe BFOQ aplicable hoy; protocolo 7 pasos como excepción jurídica exclusiva (16)","¿Confirma que no existe BFOQ aplicable y que el protocolo es suficiente?","BAJO (hoy) / ALTO si se aplicara sin dictamen","16-bfoq.md","Confirmar ausencia y suficiencia del protocolo","OPEN — espera dictamen"
