instrument,criterionCategory,relationship,strength,evidenceBasis,permittedInference,prohibitedInference,status
"Evaluación de competencias (método futuro)","E-INTEGRIDAD","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","Usar ejercicios como proxy de honestidad","PROHIBIDO"
"Instrumento de integridad (no identificado)","A-CONOCIMIENTOS","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","N/A","PROHIBIDO"
"Instrumento de integridad (no identificado)","B-HABILIDADES-COMPETENCIAS","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","N/A","PROHIBIDO"
"Instrumento de integridad (no identificado)","C-EXPERIENCIA-FORMACION","NINGUNA — transversalidad","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","N/A","PROHIBIDO"
"Instrumento de integridad (no identificado)","D-PERSONALIDAD","NINGUNA — constructos separados","NOT_SUPPORTED","Taxonomía A-02.1","Ninguno","N/A","PROHIBIDO"
"Instrumento de integridad (no identificado)","E-INTEGRIDAD","Auto-reporte orientativo ↔ integridad (sin validez demostrada)","NOT_SUPPORTED","I-INT-1 (A-02.3 PASO 7); instrumento legacy sin validación psicométrica; I-VAL-1..8 sin cumplir (PASO 8)","Ninguno hoy; estado obligatorio INSUFFICIENT con causa","Score de integridad; 'honesto/confiable/riesgo'; filtro automático; proxy desde otros instrumentos","INSUFFICIENT-OBLIGATORIO"
"Entrevista (sin guía estructurada hoy)","A-CONOCIMIENTOS","NINGUNA como lectura — declaraciones solo contexto","NOT_SUPPORTED","A-02.3 (declaración ≠ evidencia de conocimiento)","Ninguno (contexto orientativo de declaraciones)","Usar declaraciones como conocimiento medido","PROHIBIDO"
"Entrevista (sin guía estructurada hoy)","B-HABILIDADES-COMPETENCIAS","Indicadores conductuales futuros ↔ criterio B (depende de guía + rúbrica)","HYPOTHESIS","Diseño condicional A-02.3 PASO 6 / PASO 7 de este dossier","Futuro: registro por indicador con evaluador humano; hoy: explorar áreas ya identificadas","Diagnóstico; score sin rúbrica versionada; 'competencia medida' hoy","PENDIENTE-GUIA-ESTRUCTURADA"
"Entrevista (sin guía estructurada hoy)","C-EXPERIENCIA-FORMACION","Verificación de experiencia declarada ↔ criterio C","LIMITED","Depende de regla de verificación versionada (C-EXP-1..4, PASO 9) que hoy no existe","Con regla versionada: acreditación del dato (VERIFIED); sin ella: solo contexto (DECLARED)","Capacidad; conocimiento vigente; veredicto de honestidad ante contradicciones","PENDIENTE-GUIA-ESTRUCTURADA"
"Entrevista (sin guía estructurada hoy)","D-PERSONALIDAD","NINGUNA — no sustituye al IPIP; discrepancia = conflicto por protocolo","NOT_SUPPORTED","A-02.3 PASO 9 (conflicto IPIP↔entrevista, sin resolución matemática)","Contexto; área de revisión ante discrepancia","Diagnóstico de personalidad; 'corregir' el IPIP; promediar fuentes","PROHIBIDO"
"Entrevista (sin guía estructurada hoy)","E-INTEGRIDAD","NINGUNA — prohibido como proxy","NOT_SUPPORTED","PASO 9 §5 (contradicción ≠ honestidad); I-INT-1","Ninguno","Inferir honestidad desde respuestas o contradicciones","PROHIBIDO"
