jobId,blueprintId,blueprintVersion,requirementId,assessmentId,assessmentVersion,itemId,itemVersion,scoringVersion,status
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007ao0nvujiu10kg,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hg0063o0nvimjtayyq,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007bo0nvkjptxnsw,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hh0065o0nvc1sb5oy5,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007co0nv3q1whl36,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hj0067o0nvvuc0ggzy,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007do0nvrqtzmz33,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hk0069o0nvrbngeopo,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007eo0nvd3zpbdy2,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hl006bo0nvfnssgf90,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007fo0nvggwl8xk2,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hm006do0nv2kk0zosa,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007go0nv1xdapwnw,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hn006fo0nv9f8t7irv,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007ho0nvdwa88c3a,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8ho006ho0nv0rz82uiu,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007io0nvy1a3pkf3,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hp006jo0nvkjzh9i2c,v1,PUB-KS-v1,ACTIVE
cmtvzh6vu000wo0oxs018rnu3,cmtvzh8ic0079o0nv7oh14jnx,BP-v1,cmtvzh8ic007jo0nv0jswzzvk,cmtvzh8iz0085o0nvkusvb8a9,KA-v1,cmtvzh8hr006lo0nv0tkkvmiz,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008no0nvb74xt02j,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jc0014o0ox6zxmxkyc,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008oo0nv4ro29ad0,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jd0016o0oxofkdhwc8,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008po0nv2gjo04gc,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8je0018o0ox3fr2l6sa,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008qo0nvsxh2eefe,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jf001ao0oxquv5k3zl,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008ro0nvx4w0el30,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jg001co0ox8kbjorme,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008so0nv252uq18t,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jt001eo0oxpaw37prq,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008to0nvjltc4aoz,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8ju001go0oxntuk3y9q,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008uo0nvko44a7xb,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jv001io0oxeciagfmt,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008vo0nvdm8am74b,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jv001ko0oxn2olchdw,v1,PUB-KS-v1,ACTIVE
cmtvzh6vl000co0oxuiu3pcqg,cmtvzh8ki008mo0nvtfkd60ym,BP-v1,cmtvzh8ki008wo0nvz27cghhw,cmtvzh8l6009io0nv7hwr5kwc,KA-v1,cmtvzh8jw001mo0oxr8r34a0j,v1,PUB-KS-v1,ACTIVE
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a0o0nvve7908cc,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vp000mo0oxoqth4rn7,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a2o0nvvdwmet24,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vr000qo0ox18gf9sm5,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a0o0nvve7908cc,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vp000mo0oxoqth4rn7,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a2o0nvvdwmet24,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vr000qo0ox18gf9sm5,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a0o0nvve7908cc,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vp000mo0oxoqth4rn7,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a2o0nvvdwmet24,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vr000qo0ox18gf9sm5,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a0o0nvve7908cc,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vp000mo0oxoqth4rn7,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a2o0nvvdwmet24,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vr000qo0ox18gf9sm5,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a0o0nvve7908cc,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vp000mo0oxoqth4rn7,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a2o0nvvdwmet24,cmtvzhk8600aao0nv7nsbwtsl,KA-v1,cmtvzh6vr000qo0ox18gf9sm5,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a0o0nvve7908cc,cmtvzhkeg00b8o0nvvok8j8uq,KA-v2,cmtvzh6vp000mo0oxoqth4rn7,v2,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhkeg00b8o0nvvok8j8uq,KA-v2,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a2o0nvvdwmet24,cmtvzhkeg00b8o0nvvok8j8uq,KA-v2,cmtvzh6vr000qo0ox18gf9sm5,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a0o0nvve7908cc,cmtvzhl0000c6o0nvovhbj77l,KA-v3,cmtvzh6vp000mo0oxoqth4rn7,v2,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhl0000c6o0nvovhbj77l,KA-v3,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,RETIRED
cmtvzh6vo000ko0oxso6wb350,cmtvzhcho009zo0nv1g4mcbk1,BP-v1,cmtvzhcho00a2o0nvvdwmet24,cmtvzhl0000c6o0nvovhbj77l,KA-v3,cmtvzh6vr000qo0ox18gf9sm5,v2,PUB-KS-v1,RETIRED
cmtvzh6vm000eo0oxz964tw3h,cmtvzhl8v00cgo0nvp0jlrv1v,BP-v1,cmtvzhl8v00cho0nvytrnojdh,cmtvzhl9200coo0nv1aa19jiv,KA-v1,cmtvzh6vm000go0oxvmti268a,v1,PUB-KS-v1,ACTIVE
cmtvzh6vm000eo0oxz964tw3h,cmtvzhl8v00cgo0nvp0jlrv1v,BP-v1,cmtvzhl8v00cio0nvutp392f6,cmtvzhl9200coo0nv1aa19jiv,KA-v1,cmtvzh6vn000io0oxtplsz14w,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003fo0nvpqtx6vd6,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8cf0028o0nv0w9ftw85,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003go0nvu0kg2y6c,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8cg002ao0nv36vqso24,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003ho0nv2zi177in,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8ch002co0nvg0zt6tmk,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003io0nvx1qvnai5,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8ci002eo0nv8rom2foq,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003jo0nvqanpy35l,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8ck002go0nv71s95rxz,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003ko0nv8l7qsxyt,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8cl002io0nv4cy367v9,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003lo0nvwol2qlft,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8cm002ko0nvf8n634dx,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003mo0nvx6zyk5r9,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8cn002mo0nvj7eb0oif,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003no0nvxyg68oza,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8co002oo0nvd76tdwkm,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzh8dd003oo0nvc5p3ntf7,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8cp002qo0nvvg6mm3qt,v1,PUB-KS-v1,ACTIVE
cmtvzh6vr000so0oxggs98dei,cmtvzhm6t00flo0nvk5d1qv9h,BP-v1,cmtvzhm6t00fwo0nvv7okwkzt,cmtvzhm7600g0o0nvbtomrfyn,KA-v1,cmtvzh8fa0012o0oxszgdlxrd,v1,PUB-KS-v1,ACTIVE
cmtvzh6vo000ko0oxso6wb350,cmtvzhmyj00ieo0nvbh4tvo96,BP-v2,cmtvzhmyj00ifo0nvjf4n8jkv,cmtvzhmyr00ilo0nvomxmri8e,KA-v4,cmtvzh6vp000mo0oxoqth4rn7,v3,PUB-KS-v1,ACTIVE
cmtvzh6vo000ko0oxso6wb350,cmtvzhmyj00ieo0nvbh4tvo96,BP-v2,cmtvzhcho00a1o0nvtkkqj6dx,cmtvzhmyr00ilo0nvomxmri8e,KA-v4,cmtvzh6vq000oo0oxv9x6uct8,v1,PUB-KS-v1,ACTIVE
cmtvzh6vo000ko0oxso6wb350,cmtvzhmyj00ieo0nvbh4tvo96,BP-v2,cmtvzhcho00a2o0nvvdwmet24,cmtvzhmyr00ilo0nvomxmri8e,KA-v4,cmtvzh6vr000qo0ox18gf9sm5,v2,PUB-KS-v1,ACTIVE
