caseId,jobExample,competencyId,indicatorId,response,evidenceState,rationale,commonError,calibrationNote
V-A,VENDEDOR,COMP-SVC-001,IND-SVC-001-A|C|D,"Cliente buscaba equipo para su negocio con presupuesto ajustado; pregunté usos y volumen, le expliqué dos opciones con ventajas y límites, coordiné apartado y cotización; compró y volvió por accesorios.",VALID (SUPPORTED),"Action propia mapea a 3 indicadores (A detecta necesidad, C explica alternativas, D seguimiento) + R verificable → SUPPORTED","Exigir verificación externa para conceder SUPPORTED (severity)","Caso ancla VENDEDOR de SUPPORTED: R verificable = observable por el entrevistador, no exige referencia"
V-B,VENDEDOR,COMP-SVC-002,IND-SVC-002-A|B|C,"Siempre resuelvo los reclamos muy bien, los clientes quedan contentos conmigo.",INSUFFICIENT,"GENERAL_CLAIM sin STAR; tras redirección no aportó ejemplo → INSUFFICIENT ≠ 0","Aceptar 'quedan contentos' como Result verificable","Caso ancla de GENERAL_CLAIM con Result aparente: el resultado sin Action no verifica nada"
V-C,VENDEDOR,COMP-SVC-002,IND-SVC-002-A|B|C,"Si un cliente me reclamara, primero lo calmaría y luego le buscaría una solución.",LIMITED,"HYPOTHETICAL pura → LIMITED como máximo (regla H-1); nunca SUPPORTED","Inflar por 'buen criterio' expresado","Caso ancla de hipotético VENDEDOR; comparar con V-A"
V-D,VENDEDOR,COMP-COL-001,IND-COL-001-A|B,"El supervisor atendió al cliente y yo lo apoyé; él se encargó de todo el intercambio y la venta.",INSUFFICIENT,"Action del supervisor; sin Action propia identificable tras probes existentes (patrón D) → INSUFFICIENT","Acreditar 'lo apoyé' como coordinación demostrada; o fallar en extraer su parte","CASO QUE MOTIVÓ PROBE-COL-001-D: aplicar el nuevo probe (DRAFT) y detenerse si no emerge Action propia"
V-E,VENDEDOR,COMP-ORG-001,IND-ORG-001-A|B,"Aumentamos las ventas un 30% ese año, fue el mejor trimestre de la tienda.",PENDING_REVIEW,"EXTERNAL_RESULT sin Action propia → PENDING_REVIEW (resultado ≠ competencia)","Asignar SUPPORTED por el 30% (la magnitud no pondera)","Caso ancla de resultado externo VENDEDOR; espejo de CAL-21"
V-F,VENDEDOR,COMP-TRV-002,IND-TRV-002-A|B,"CV: 'Supervisé 15 empleados'. Entrevista: sin conducta de supervisión descrita.",PENDING_REVIEW,"CONTRADICTION CV vs entrevista → CONFLICT → PENDING_REVIEW (protocolo C-1..C-7)","Promediar fuentes o dar por buena la afirmación del CV","Caso ancla de conflicto VENDEDOR; mismo manejo que M-F"
V-G,VENDEDOR,COMP-SVC-001,IND-SVC-001-A (parcial),"Pregunté qué buscaba y le mostré la sección correcta.",LIMITED,"Action propia real pero 1 indicador (A parcial), sin C ni D ni R → LIMITED (regla R2)","Conceder SUPPORTED 'porque sí atendió' (leniency)","Caso ancla de frontera LIMITED: 1 indicador vs 3 de V-A"
V-H,VENDEDOR,COMP-TRV-002,IND-TRV-002-A|B,"Cambió el horario de la tienda; reorganicé mis traslados y cubrí la apertura. Como en mi religión descanso ese día, pedí el ajuste con anticipación...",INVALID (atributo) + LIMITED (conducta),"Revelación involuntaria (religión): no registrar, no usar, no profundizar; conducta de adaptación SÍ se registra → LIMITED","Discutir o verificar la creencia; o dejar de registrar la conducta por la revelación","Caso ancla de revelación involuntaria VENDEDOR; misma regla que M-H; motiva el módulo de entrenamiento de Q-VEN-TRV-002"
V-I,VENDEDOR,COMP-COL-001,IND-COL-001-A|B,"Nunca he trabajado; no tengo ejemplos de colaboración en el trabajo.",NO_EVIDENCE,"Entry-level sin experiencia: ausencia legítima; NO_EVIDENCE (no INSUFFICIENT, no veto)","Presionar por ejemplos escolares hasta que el candidato invente","Caso ancla de NO_EVIDENCE legítimo VENDEDOR"
V-J,VENDEDOR,COMP-ORG-001,IND-ORG-001-A|B,"Ejemplo 1: en temporada alta armé la fila express para compras pequeñas y aparté devoluciones para la tarde. Ejemplo 2: con un cajón caído, reasigné cobros a la terminal móvil y avise tiempos a las filas; no hubo abandono de compras.",VALID (STRONG),"2+ ejemplos con Action propia (A prioriza, B planifica, D ajusta) + Results verificables → STRONG","Dudar 'para no arriesgar' y bajar a LIMITED (central tendency)","Caso ancla de STRONG VENDEDOR; espejo de M-J"
CAL-21,MESERO,COMP-ORG-001,IND-ORG-001-A|B,"Aumentamos la eficiencia del servicio un 30% ese año. Fue un gran logro.",PENDING_REVIEW,"RESULTADO POSITIVO + CONDUCTA INSUFICIENTE: el 30% no organiza nada por sí mismo; sin Action propia no hay indicadores observados (PASO 6)","'30% es un gran número → SUPPORTED/STRONG' (ponderar magnitud)","Caso creado en A-06.7 PASO 6: demostrar que el resultado externo NO controla el nivel"
CAL-22,VENDEDOR,COMP-ORG-001,IND-ORG-001-A|B|D,"Mañana saturada con un solo cajón: hice una fila express para 2 artículos, pedí apartar devoluciones para la tarde y avise tiempos aproximados. Vendimos un poco menos que un sábado normal, pero nadie se fue por la fila y no hubo reclamos.",VALID (SUPPORTED),"RESULTADO MODESTO + CONDUCTA FUERTE: Action mapea a 3 indicadores (A prioriza, B planifica, D ajusta) + R observable → SUPPORTED (PASO 6)","Castigar el resultado modesto ('vendimos menos') bajando el nivel","Caso creado en A-06.7 PASO 6: demostrar que el resultado modesto NO castiga; el nivel lo fija la conducta"
CAL-23,VENDEDOR,COMP-SVC-002,IND-SVC-002-A|B|C,"No sé… supongo que si un cliente me reclamara, primero lo calmaría y luego le buscaría solución.",LIMITED,"Hipotético elicito por la pregunta BDI: la respuesta reformuló en futuro → HYPOTHETICAL → LIMITED (regla H-1/H-2); redirigir con UNI-005 (máx 2)","Tratar el reformulado hipotético como respuesta BDI completa","Caso creado en A-06.7 PASO 7: práctica de redirección y stop"
CAL-24,MESERO,COMP-SVC-001,IND-SVC-001-A|C|D,"Soy muy bueno con los clientes.",INSUFFICIENT,"Respuesta vaga canónica: GENERAL_CLAIM sin situación, sin Action, sin Result → INSUFFICIENT (regla PASO 8); nunca 0, nunca NEGATIVE, nunca veto","Convertir la vaga en 0/NEGATIVE/veto; o aceptarla como LIMITED","Caso creado en A-06.7 PASO 8: frase exacta de la especificación; práctica de redirección UNI-005"
CAL-25,MESERO,COMP-COL-001,IND-COL-001-A|B,"Trabajo muy bien en equipo.",INSUFFICIENT,"GENERAL_CLAIM sin ejemplo → INSUFFICIENT; tras 2 redirecciones sin anclaje se documenta y detiene (PASO 8)","Anotarlo como 'buena actitud' y usarlo en la decisión","Caso creado en A-06.7 PASO 8: la 'actitud' no es indicador conductual"
CAL-26,MESERO,COMP-ORG-001,IND-ORG-001-A|B,"Siempre cumplo con mi trabajo.",INSUFFICIENT,"GENERAL_CLAIM genérico → INSUFFICIENT (PASO 8); INSUFFICIENT ≠ 0, no veta, no promedia","Tratar 'cumplo' como evidencia de organización/indicadores","Caso creado en A-06.7 PASO 8: completitud del trío vago de la especificación"
CAL-27,VENDEDOR,COMP-SVC-001,IND-SVC-001-A|C|D,"Referencia: 'manejaba la caja sin errores'. Entrevista: cuenta que le descontaron por un faltante y que la revisora le señalaba descuadres.",PENDING_REVIEW,"CONFLICT referencia vs entrevista sobre hecho verificable → PENDING_REVIEW (protocolo C-1..C-7); el revisor puede aclarar alcance (lista permitida)","Dar por buena la referencia por autoridad; o acusar contradicción con tono adversarial","Caso creado en A-06.7 PASO 9: práctica de resolución humana documentada"
CAL-28,MESERO,COMP-ORG-001,IND-ORG-001-A|B,"En Q1: 'nunca me he atrasado'. En Q3 (organización): 'cuando llegaba tarde por el camión, reordenaba mi sección al entrar'.",PENDING_REVIEW,"CONFLICT entrevista vs entrevista (autocontradicción sobre hecho verificable) → PENDING_REVIEW; sin promedio (C-2)","Ignorar la contradicción por ser 'pequeña'; o resolverla en la propia entrevista sin registro","Caso creado en A-06.7 PASO 9: autocontradicción entre respuestas de la misma entrevista"
