competencyId,indicatorId,noEvidence,insufficient,limited,supported,strong,examples,status
COMP-COL-001,IND-COL-001-B,"No hay ejemplo de pedir/ofrecer ayuda","'Trabajo muy bien en equipo' (CAL-25) — sin ejemplo","Un acto concreto: 'Le pedí a otra mesera que me tomara la mesa 5'","Pide Y ofrece ayuda dentro de ejemplo con R","2+ ejemplos recíprocos de ayuda con Results","'Cuando ella se atascó, le tomé dos mesas a ella'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-COL-001,IND-COL-001-C,"No hay ejemplo de exposición de desacuerdos","'Discutimos' sin conducta constructiva","Una exposición constructiva concreta: 'Le dije al chef que los platos salían desordenados y propuse salir por orden de mesa'","Propone solución a desacuerdo y la prueba con R","2+ ejemplos de manejo constructivo de desacuerdos","'Acordamos probarlo ese día y revisar al cierre'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-COL-001,IND-COL-001-D,"No hay ejemplo de asistencia","'El equipo cubrió' — acción de otros (M-D/V-D)","Un acto propio de cobertura: 'Cubrí las mesas del compañero lesionado'","Cobertura + continuidad gestionada con R","2+ asistencias con Results","'Cubrí sus mesas mientras el encargado gestionaba el relevo; el servicio no se detuvo'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-ORG-001,IND-ORG-001-A,"No hay ejemplo de priorización","'Organicé todo bien' sin criterio","Un criterio de prioridad concreto: 'Primero serví las bebidas de las 3 mesas nuevas'","Priorización con criterio explícito dentro de ejemplo con R","2+ ejemplos de priorización bajo presión","'Dejé el cobro para después de sentar a la pareja con bebé que esperaba'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-ORG-001,IND-ORG-001-B,"No hay ejemplo de planificación","'Aumentamos la eficiencia 30%' — EXTERNAL_RESULT (CAL-21)","Una planificación concreta: 'Antes de abrir revisé reservaciones y armé el orden de secciones'","Plan + preparación para el pico con R","2+ planes con Results verificables","'Dejé preparados los ostiones de la barra para el pico de las 2pm'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-ORG-001,IND-ORG-001-C,"No hay ejemplo de control de pendientes","'No se me olvida nada' — afirmación","Un mecanismo concreto: 'Llevaba lista de lo que faltaba servir'","Mecanismo + verificación periódica con R","2+ mecanismos de control con Results","'La revisaba cada vez que entregaba un plato'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-ORG-001,IND-ORG-001-D,"No hay ejemplo de ajuste ante imprevisto","'Ese día todo cambió' — solo Situation","Un ajuste concreto: 'Cuando se cayó una bandeja, reordené la salida de platos'","Ajuste + comunicación afectada con R","2+ ajustes con Results","'Avisé a las mesas afectadas el nuevo tiempo'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-TRV-002,IND-TRV-002-A,"No hay ejemplo de adaptación","'Me adapto rápido' sin ejemplo","Un ajuste de método concreto: 'Rehice mi ruta de mesas por el nuevo montaje'","Ajuste de método + afectaciones consideradas con R","2+ adaptaciones con Results","'Cambié el orden de comanda para no cruzarme con el montaje'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-TRV-002,IND-TRV-002-B,"No hay ejemplo de incorporación de cambio","'Fue todo muy distinto' — solo Situation","Una incorporación concreta: 'Aprendí a manejar las quejas de clientes celíacos con el nuevo proveedor'","Incorpora el cambio y lo operacionaliza con R","2+ incorporaciones con Results","'Armé con cocina la lista de platos seguros para ofrecer de entrada'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-TRV-002,IND-TRV-002-C,"No hay ejemplo de efectividad bajo cambio","'Sigo igual que siempre' sin anclaje","Una afirmación anclada: 'Mis tiempos de servicio no bajaron esa semana'","Efectividad mantenida + verificación con R","2+ periodos de cambio con efectividad verificada","'Lo verifiqué con los tiempos de comanda de la terminal'","DRAFT/PILOTO (NO PRODUCTIVO)"
COMP-TEC-001,IND-TEC-001-A,"No hay ejemplo de conocimiento de producto aplicado","'Conozco todo el menú' sin aplicación","Explica con precisión un producto/plato en un ejemplo real","Precisión + adecuación al cliente dentro de ejemplo con R","2+ explicaciones precisas con Results","(sin pregunta en banco — ancla de referencia)","DRAFT/PILOTO (NO PILOTADO — sin pregunta en banco)"
COMP-TEC-001,IND-TEC-001-B,"No hay ejemplo de consulta ante duda","'Nunca tengo dudas' — riesgo de improvisación no evidencia","Consulta concreta ante duda en un ejemplo real","Consulta + respuesta correcta al cliente con R","2+ consultas con Results","(sin pregunta en banco — ancla de referencia)","DRAFT/PILOTO (NO PILOTADO — sin pregunta en banco)"
COMP-TEC-001,IND-TEC-001-C,"No hay ejemplo de aplicación de información vigente","'Siempre me entero de todo' sin ejemplo","Aplica promoción/cambio vigente en un ejemplo real","Aplicación vigente + comunicación al cliente con R","2+ aplicaciones con Results","(sin pregunta en banco — ancla de referencia)","DRAFT/PILOTO (NO PILOTADO — sin pregunta en banco)"
